epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.9090713262557983	0.29741743206977844	1.0	0.0	0.0	0.9089342355728149	0.2806544899940491	0.9996918439865112	0.5	0.0031545741949230433
1	0.9104359745979309	0.2618155777454376	0.9996028542518616	0.8275862336158752	0.01895734667778015	0.9097960591316223	0.27295395731925964	0.9955946207046509	0.5483871102333069	0.05362775921821594
2	0.9189111590385437	0.226479634642601	0.9969128370285034	0.8186046481132507	0.13902053236961365	0.9109451174736023	0.27933555841445923	0.9924607276916504	0.5636363625526428	0.09779179841279984
3	0.9370107054710388	0.17441870272159576	0.9932765960693359	0.8479427695274353	0.3744075894355774	0.9100832939147949	0.3143559992313385	0.9875624179840088	0.523809552192688	0.13880126178264618
4	0.9630826711654663	0.1101207360625267	0.9944174289703369	0.9205816388130188	0.6500790119171143	0.9057741761207581	0.39586398005485535	0.9815306067466736	0.4476190507411957	0.14826498925685883
5	0.9820441007614136	0.06127766892313957	0.9969005584716797	0.9643509984016418	0.8333333134651184	0.8779086470603943	0.46953240036964417	0.940743625164032	0.2969924807548523	0.2492113560438156
6	0.9785247445106506	0.059526655822992325	0.9922856092453003	0.9164513349533081	0.8404423594474792	0.8960068821907043	0.4563417136669159	0.9677712917327881	0.3619631826877594	0.18611986935138702
7	0.9793148040771484	0.05743817239999771	0.9926666021347046	0.9201030731201172	0.8459715843200684	0.8302211761474609	0.5209265351295471	0.8726146817207336	0.23954372107982635	0.39747634530067444
8	0.9889391660690308	0.03343449532985687	0.9962280988693237	0.9610282182693481	0.9154818058013916	0.8813559412956238	0.5552539229393005	0.9462008476257324	0.30645161867141724	0.23974762856960297
9	0.9957624077796936	0.016268687322735786	0.9986358880996704	0.9863013625144958	0.9668246507644653	0.9034759998321533	0.7329586148262024	0.9846903681755066	0.37662336230278015	0.09148264676332474
10	0.9964088201522827	0.014092870987951756	0.9985164403915405	0.9848484992980957	0.9755133986473083	0.9066359996795654	0.8028542399406433	0.9883629083633423	0.4375	0.08832807838916779
11	0.9986353516578674	0.007349485997110605	0.9995359778404236	0.9952343106269836	0.9897314310073853	0.9069232940673828	0.9549432992935181	0.9921392202377319	0.4146341383457184	0.05362775921821594
12	0.9994254112243652	0.004255121108144522	0.9996899962425232	0.9968404173851013	0.9968404173851013	0.9057741761207581	0.9366171956062317	0.9867672920227051	0.4225352108478546	0.09463722258806229
13	0.9994254112243652	0.0027415899094194174	0.9997667074203491	0.9976266026496887	0.9960505366325378	0.8991668820381165	0.8262137174606323	0.9740422964096069	0.3692307770252228	0.15141956508159637
14	0.9999281764030457	0.001489574438892305	1.0	1.0	0.9992101192474365	0.8971560001373291	0.8334341049194336	0.9705631732940674	0.35862070322036743	0.16403785347938538
15	1.0	0.0005932794883847237	1.0	1.0	1.0	0.8962941765785217	0.8309786319732666	0.9687262177467346	0.3571428656578064	0.17350158095359802
16	1.0	0.00024276901967823505	1.0	1.0	1.0	0.8934214115142822	0.8377484083175659	0.9637778401374817	0.34659090638160706	0.19242902100086212
17	1.0	0.00016911188140511513	1.0	1.0	1.0	0.893996000289917	0.8582248687744141	0.9641025066375732	0.35227271914482117	0.19558359682559967
18	1.0	0.00013045950618106872	1.0	1.0	1.0	0.894570529460907	0.8762619495391846	0.9644055366516113	0.3579545319080353	0.19873817265033722
19	1.0	0.0001061257062247023	1.0	1.0	1.0	0.894570529460907	0.8922447562217712	0.9640973806381226	0.3595505654811859	0.20189274847507477
20	1.0	8.860234083840623e-05	1.0	1.0	1.0	0.894570529460907	0.9068774580955505	0.9641027450561523	0.3595505654811859	0.20189274847507477
21	1.0	7.509595161536708e-05	1.0	1.0	1.0	0.8948578238487244	0.9206902980804443	0.9644274115562439	0.3615819215774536	0.20189274847507477
22	1.0	6.434555689338595e-05	1.0	1.0	1.0	0.8948578238487244	0.9336748719215393	0.9647355675697327	0.36000001430511475	0.19873817265033722
23	1.0	5.559284909395501e-05	1.0	1.0	1.0	0.8948578238487244	0.9458199739456177	0.9650437235832214	0.3583815097808838	0.19558359682559967
24	1.0	4.8269379476550967e-05	1.0	1.0	1.0	0.8948578238487244	0.9579172134399414	0.9653518795967102	0.35672515630722046	0.19242902100086212
25	1.0	4.20919677708298e-05	1.0	1.0	1.0	0.895145058631897	0.969531774520874	0.965665340423584	0.3588235378265381	0.19242902100086212
26	1.0	3.681023736135103e-05	1.0	1.0	1.0	0.895145058631897	0.9812524318695068	0.965665340423584	0.3588235378265381	0.19242902100086212
27	1.0	3.2294039556290954e-05	1.0	1.0	1.0	0.8948578238487244	0.9922545552253723	0.9653406739234924	0.35672515630722046	0.19242902100086212
28	1.0	2.838970976881683e-05	1.0	1.0	1.0	0.8948578238487244	1.0033774375915527	0.9656339287757874	0.3550295829772949	0.18927444517612457
29	1.0	2.4986064090626314e-05	1.0	1.0	1.0	0.895145058631897	1.0145094394683838	0.9656339287757874	0.3588235378265381	0.19242902100086212
30	1.0	2.2008378437021747e-05	1.0	1.0	1.0	0.895145058631897	1.0255290269851685	0.9656339287757874	0.3588235378265381	0.19242902100086212
31	1.0	1.9425806385697797e-05	1.0	1.0	1.0	0.895145058631897	1.0364716053009033	0.9656339287757874	0.3588235378265381	0.19242902100086212
32	1.0	1.713372694212012e-05	1.0	1.0	1.0	0.8957196474075317	1.0474505424499512	0.9659585952758789	0.364705890417099	0.19558359682559967
33	1.0	1.511642403784208e-05	1.0	1.0	1.0	0.8957196474075317	1.058443307876587	0.9659585952758789	0.364705890417099	0.19558359682559967
34	1.0	1.3335014045878779e-05	1.0	1.0	1.0	0.8960068821907043	1.0694514513015747	0.9662775993347168	0.3668639063835144	0.19558359682559967
35	1.0	1.1762926988012623e-05	1.0	1.0	1.0	0.8962941765785217	1.080204963684082	0.9666022658348083	0.369047611951828	0.19558359682559967
36	1.0	1.0378639672126155e-05	1.0	1.0	1.0	0.8968687057495117	1.0911604166030884	0.96723473072052	0.3734939694404602	0.19558359682559967
37	1.0	9.154290637525264e-06	1.0	1.0	1.0	0.8977305293083191	1.1022661924362183	0.967872679233551	0.38181817531585693	0.19873817265033722
38	1.0	8.050546966842376e-06	1.0	1.0	1.0	0.8974432349205017	1.113803505897522	0.9681973457336426	0.37654322385787964	0.19242902100086212
39	1.0	7.074763288983377e-06	1.0	1.0	1.0	0.8974432349205017	1.124915361404419	0.967872679233551	0.37804877758026123	0.19558359682559967
40	1.0	6.204900728334906e-06	1.0	1.0	1.0	0.8974432349205017	1.136551022529602	0.967872679233551	0.37804877758026123	0.19558359682559967
41	1.0	5.44824251846876e-06	1.0	1.0	1.0	0.8977305293083191	1.147739052772522	0.967872679233551	0.38181817531585693	0.19873817265033722
42	1.0	4.780304607265862e-06	1.0	1.0	1.0	0.8974432349205017	1.1590381860733032	0.9675645232200623	0.379518061876297	0.19873817265033722
43	1.0	4.195107521809405e-06	1.0	1.0	1.0	0.8968687057495117	1.170458436012268	0.9672455787658691	0.3734939694404602	0.19558359682559967
44	1.0	3.6759956856258214e-06	1.0	1.0	1.0	0.8971560001373291	1.182031512260437	0.9675645232200623	0.3757575750350952	0.19558359682559967
45	1.0	3.2217440093518235e-06	1.0	1.0	1.0	0.8968687057495117	1.193759560585022	0.9672398567199707	0.3734939694404602	0.19558359682559967
46	1.0	2.822193209794932e-06	1.0	1.0	1.0	0.8968687057495117	1.205161213874817	0.9672398567199707	0.3734939694404602	0.19558359682559967
47	1.0	2.4716548523429083e-06	1.0	1.0	1.0	0.8965814709663391	1.2168753147125244	0.9672398567199707	0.3696969747543335	0.19242902100086212
48	1.0	2.1641387775162e-06	1.0	1.0	1.0	0.8965814709663391	1.228468656539917	0.9672398567199707	0.3696969747543335	0.19242902100086212
49	1.0	1.8934957779492834e-06	1.0	1.0	1.0	0.8962941765785217	1.240159034729004	0.9669263958930969	0.3674698770046234	0.19242902100086212
