epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.6847457885742188	1.0952534675598145	0.6910812854766846	0.1676538735628128	0.6223709583282471	0.5203337073326111	1.0450791120529175	0.4816908538341522	0.1493099182844162	0.9083969593048096
1	0.7702738046646118	0.8693011403083801	0.7700178623199463	0.2511685788631439	0.7705544829368591	0.6256517171859741	0.9902336001396179	0.6038807034492493	0.17633041739463806	0.847328245639801
2	0.8177314400672913	0.7161207795143127	0.8151199221611023	0.313188761472702	0.8422561883926392	0.6909975409507751	1.0045132637023926	0.682118833065033	0.19826756417751312	0.7862595319747925
3	0.8741416931152344	0.5142859816551208	0.8692807555198669	0.4136597812175751	0.9206501245498657	0.7900590896606445	1.1397844552993774	0.802083432674408	0.25431033968925476	0.6755725145339966
4	0.9237722754478455	0.32509645819664	0.9196361899375916	0.5457003712654114	0.9646271467208862	0.8060479760169983	1.3701989650726318	0.8231897950172424	0.26582279801368713	0.6412213444709778
5	0.9407214522361755	0.24600884318351746	0.9370900392532349	0.6083333492279053	0.9770554304122925	0.8196037411689758	1.4792258739471436	0.841571569442749	0.27574169635772705	0.6030534505844116
6	0.9580182433128357	0.18375302851200104	0.9559893012046814	0.6900742650032043	0.9770554304122925	0.7952728271484375	1.5570836067199707	0.8085988163948059	0.2584933638572693	0.6679389476776123
7	0.964102566242218	0.15267397463321686	0.9623045325279236	0.7230443954467773	0.980879545211792	0.8682655692100525	2.243246555328369	0.9066044092178345	0.34316354990005493	0.4885496199131012
8	0.9702737927436829	0.12453236430883408	0.9686174988746643	0.7584434747695923	0.9875717163085938	0.8842544555664062	2.8267621994018555	0.9295204281806946	0.3804713785648346	0.4312977194786072
9	0.975575864315033	0.1048683226108551	0.9747866988182068	0.7958236932754517	0.9837476015090942	0.8300312757492065	2.243630886077881	0.8575538396835327	0.28214970231056213	0.5610687136650085
10	0.9836592674255371	0.07569988816976547	0.9828696250915527	0.8516393303871155	0.9933078289031982	0.8724365830421448	3.0627245903015137	0.9155590534210205	0.34421366453170776	0.442748099565506
11	0.9870491027832031	0.0632832795381546	0.9864218831062317	0.8791208863258362	0.9942638874053955	0.8898158073425293	3.7061970233917236	0.9398258924484253	0.39463600516319275	0.39312976598739624
12	0.9921773076057434	0.04111851379275322	0.9918124675750732	0.9245115518569946	0.995219886302948	0.8957247138023376	4.302280902862549	0.9489436745643616	0.417391300201416	0.3664122223854065
13	0.9953063726425171	0.02524735778570175	0.9949760437011719	0.9525547623634338	0.9980879426002502	0.9009384512901306	4.762485504150391	0.9576295018196106	0.4422110617160797	0.3358778655529022
14	0.9995654225349426	0.006993832997977734	0.9995073080062866	0.9952426552772522	1.0	0.9005908966064453	4.900528430938721	0.9559916853904724	0.4417475759983063	0.347328245639801
15	1.0	0.00206044502556324	1.0	1.0	1.0	0.8998957276344299	4.921643257141113	0.9537298679351807	0.43981480598449707	0.36259540915489197
16	1.0	0.001199896913021803	1.0	1.0	1.0	0.9019812345504761	5.165259838104248	0.956394374370575	0.45192307233810425	0.35877862572669983
17	1.0	0.0009141979389823973	1.0	1.0	1.0	0.9033715724945068	5.298033714294434	0.9591142535209656	0.4595959484577179	0.347328245639801
18	1.0	0.0007339175208471715	1.0	1.0	1.0	0.9047619104385376	5.404895305633545	0.9607305526733398	0.469072163105011	0.347328245639801
19	1.0	0.0006071915850043297	1.0	1.0	1.0	0.9051094651222229	5.49149227142334	0.9611071944236755	0.4715026021003723	0.347328245639801
20	1.0	0.0005117026157677174	1.0	1.0	1.0	0.9058046340942383	5.564762592315674	0.9618802666664124	0.47643980383872986	0.347328245639801
21	1.0	0.0004366623470559716	1.0	1.0	1.0	0.905457079410553	5.6309309005737305	0.9615159034729004	0.4739583432674408	0.347328245639801
