network,neg,pos,ratio,mode,h1,h2,lr,bs,best_epoch,best_val_recall,best_val_neg_recall,best_balanced_acc
FullyConnectedPerceptron,1,10,10.0,BCE,128,128,0.0003,16,0,0.3864258229732513,0.9869030117988586,0.686664417386055
FullyConnectedPerceptron,1,10,10.0,BCE,128,256,0.0002,128,0,0.3143130838871002,0.9910781979560852,0.6526956409215927
FullyConnectedPerceptron,1,10,10.0,BCE,128,256,0.0005,32,0,0.4592227637767792,0.980216145515442,0.7197194546461105
FullyConnectedPerceptron,1,10,10.0,BCE,128,256,0.006,128,0,0.3445539176464081,0.9905028939247132,0.6675284057855606
FullyConnectedPerceptron,1,10,10.0,BCE,128,64,0.0001,16,0,0.4668855965137481,0.9621984958648682,0.7145420461893082
FullyConnectedPerceptron,1,10,10.0,BCE,128,64,0.0002,16,0,0.4020251631736755,0.9861921072006226,0.694108635187149
FullyConnectedPerceptron,1,10,10.0,BCE,256,128,0.0003,16,0,0.4013409912586212,0.9894564151763916,0.6953987032175064
FullyConnectedPerceptron,1,10,10.0,BCE,256,256,0.002,64,0,0.4590859413146972,0.9715679883956908,0.715326964855194
FullyConnectedPerceptron,1,10,10.0,BCE,256,32,0.002,32,0,0.465106725692749,0.9759465456008912,0.7205266356468201
FullyConnectedPerceptron,1,10,10.0,BCE,256,32,0.004,32,0,0.4455391466617584,0.9788467288017272,0.7121929377317429
FullyConnectedPerceptron,1,10,10.0,BCE,256,32,0.0004,64,0,0.3842364549636841,0.9891563057899476,0.6866963803768158
FullyConnectedPerceptron,1,10,10.0,BCE,256,64,0.001,128,0,0.3772577941417694,0.990726351737976,0.6839920729398727
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.001,32,0,0.4801587164402008,0.968643307685852,0.7244010120630264
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0001,128,0,0.2946086525917053,0.9925272464752196,0.6435679495334625
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0002,128,0,0.5038314461708069,0.9505910277366638,0.7272112369537354
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0002,64,0,0.3742474019527435,0.989945352077484,0.6820963770151137
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.003,32,0,0.3983305990695953,0.9886903762817384,0.6935104876756668
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0003,128,0,0.4084564745426178,0.9842788577079772,0.6963676661252975
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0004,128,0,0.4991789758205414,0.9572684168815612,0.7282236963510513
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0004,32,0,0.3731527030467987,0.9918525218963624,0.6825026124715805
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0005,128,0,0.4759168028831482,0.9721084833145142,0.7240126430988312
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0006,128,0,0.4789271950721741,0.9749919176101683,0.7269595563411713
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0007,128,0,0.4916529953479767,0.9563637375831604,0.7240083664655685
FullyConnectedPerceptron,1,10,10.0,BCE,512,128,0.0008,128,0,0.4913793206214905,0.9531324505805968,0.7222558856010437
FullyConnectedPerceptron,1,10,10.0,BCE,512,256,0.0002,128,0,0.4031198620796203,0.9854868054389954,0.6943033337593079
FullyConnectedPerceptron,1,10,10.0,BCE,512,32,0.0002,128,0,0.3928571343421936,0.9865357875823976,0.6896964609622955
FullyConnectedPerceptron,1,10,10.0,BCE,512,32,0.0003,128,0,0.5149151682853699,0.941565752029419,0.7282404601573944
FullyConnectedPerceptron,1,10,10.0,BCE,512,32,0.0004,128,0,0.4850848317146301,0.9537078738212584,0.7193963527679443
FullyConnectedPerceptron,1,10,10.0,BCE,512,32,0.0006,128,0,0.494252860546112,0.9509320855140686,0.7225924730300903
FullyConnectedPerceptron,1,10,10.0,BCE,512,64,0.0001,128,0,0.3273125290870666,0.9912000894546508,0.6592563092708587
FullyConnectedPerceptron,1,10,10.0,BCE,512,64,0.0003,128,0,0.484674334526062,0.9618221521377563,0.7232482433319092
FullyConnectedPerceptron,1,10,10.0,BCE,64,128,0.0004,64,0,0.3451012670993805,0.9920344352722168,0.6685678511857986
FullyConnectedPerceptron,1,10,10.0,BCE,64,128,0.007,64,0,0.3641214966773987,0.9854165315628052,0.6747690141201019
FullyConnectedPerceptron,1,10,10.0,BCE,64,256,0.001,32,0,0.4345922172069549,0.9743178486824036,0.7044550329446793
FullyConnectedPerceptron,1,10,10.0,BCE,64,256,0.0001,64,0,0.2851669490337372,0.9931600689888,0.6391635090112686
FullyConnectedPerceptron,1,10,10.0,BCE,64,256,0.0008,16,0,0.4377394616603851,0.9713310599327089,0.7045352607965469
FullyConnectedPerceptron,1,10,10.0,BCE,64,32,0.001,16,0,0.388615220785141,0.9869378805160522,0.6877765506505966
FullyConnectedPerceptron,1,10,10.0,BCE,64,32,0.0001,128,0,0.2614942491054535,0.9941367506980896,0.6278154999017715
FullyConnectedPerceptron,1,10,10.0,BCE,64,32,0.004,16,0,0.4369184374809265,0.9760887026786804,0.7065035700798035
FullyConnectedPerceptron,1,10,10.0,weightedBCE,128,128,0.0005,64,0,0.668308675289154,0.8592075705528259,0.76375812292099
FullyConnectedPerceptron,1,10,10.0,weightedBCE,128,256,0.005,16,0,0.656814455986023,0.8510444164276123,0.7539294362068176
FullyConnectedPerceptron,1,10,10.0,weightedBCE,128,32,0.004,32,0,0.6532567143440247,0.8709650039672852,0.7621108591556549
FullyConnectedPerceptron,1,10,10.0,weightedBCE,128,32,0.0004,32,0,0.6707717776298523,0.8576997518539429,0.7642357647418976
FullyConnectedPerceptron,1,10,10.0,weightedBCE,128,32,0.005,64,0,0.659551203250885,0.8692775368690491,0.764414370059967
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.01,16,0,0.5524083375930786,0.9052357077598572,0.7288220226764679
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.003,16,0,0.6585932970046997,0.8742884397506714,0.7664408683776855
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.003,32,0,0.6596879959106445,0.8745059967041016,0.767096996307373
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.004,16,0,0.6451833844184875,0.8776034712791443,0.7613934278488159
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.005,16,0,0.6648877859115601,0.8569061160087585,0.7608969509601593
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.006,16,0,0.6598248481750488,0.8604733943939209,0.7601491212844849
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,256,0.007,16,0,0.6279419660568237,0.8597456812858582,0.7438438236713409
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,32,0.002,128,0,0.6542145609855652,0.8764806389808655,0.7653475999832153
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,32,0.002,32,0,0.6579091548919678,0.876232385635376,0.7670707702636719
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,32,0.006,32,0,0.0,1.0,0.5
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,32,0.007,32,0,0.6481937766075134,0.861540675163269,0.7548672258853912
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,32,0.009,128,0,0.6699507236480713,0.8578668832778931,0.7639088034629822
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,64,0.001,128,0,0.6680350303649902,0.867267370223999,0.7676512002944946
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,64,0.004,32,0,0.7084017395973206,0.8175228834152222,0.7629623115062714
FullyConnectedPerceptron,1,10,10.0,weightedBCE,256,64,0.008,32,0,0.6830870509147644,0.8287005424499512,0.7558937966823578
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,256,0.001,32,0,0.6607826948165894,0.8721856474876404,0.7664841711521149
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,256,0.0002,32,0,0.6605090498924255,0.8709279298782349,0.7657184898853302
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,256,0.009,16,0,0.0,1.0,0.5
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,32,0.003,32,0,0.6770662069320679,0.853575587272644,0.765320897102356
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,32,0.003,64,0,0.6711822748184204,0.8627054691314697,0.7669438719749451
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,32,0.004,16,0,0.680213451385498,0.8487915992736816,0.7645025253295898
FullyConnectedPerceptron,1,10,10.0,weightedBCE,512,64,0.0001,32,0,0.64573073387146,0.8779503107070923,0.7618405222892761
FullyConnectedPerceptron,1,10,10.0,weightedBCE,64,128,0.0002,128,0,0.6776135563850403,0.8479702472686768,0.7627919018268585
FullyConnectedPerceptron,1,10,10.0,weightedBCE,64,128,0.0002,16,0,0.7056650519371033,0.8178423047065735,0.7617536783218384
FullyConnectedPerceptron,1,10,10.0,weightedBCE,64,128,0.0003,128,0,0.6704980731010437,0.833893358707428,0.7521957159042358
